level_0,index,city,year,latitude,longitude,log_pop,num_people,diversity,capital,university,commune,bishop,fup,notability_index,city_id,year_id
1269,2171,Montpellier,1800,43.6,3.883,3.4965075614664802,183,4.836774414300027,0,1,1,1,20.846,3421.263568,390,6
1270,2173,Monza,1300,45.583,9.267,2.302585092994046,3,1.6094379124341005,0,0,0,0,16.98,56.514352,391,1
1271,2176,Monza,1600,45.583,9.267,2.4849066497880004,2,0.6931471805599453,0,0,0,0,22.576,35.560665,391,4
1272,2177,Monza,1700,45.583,9.267,1.9459101490553132,13,2.564949357461537,0,0,0,0,24.213,234.279334,391,5
1273,2178,Monza,1800,45.583,9.267,2.302585092994046,64,4.22506848946165,0,0,0,0,33.701,1235.255254,391,6
1274,2180,Morella,1300,40.617,-0.1,1.791759469228055,2,1.0986122886681096,0,0,0,0,5.5711,36.612391,392,1
1275,2184,Morella,1800,40.617,-0.1,1.791759469228055,20,3.044522437723422,0,0,0,0,17.006,339.011012,392,6
1276,2185,Moron-de-la-Frontera (Maurur),1800,37.133,-5.45,2.0794415416798357,3,1.0986122886681096,0,0,1,0,18.495,51.260536,393,6
1277,2189,Motril,1800,36.75,-3.517,2.4849066497880004,10,2.302585092994045,0,0,0,0,16.233,181.464047,394,6
1278,2194,Moulins,1700,46.57,3.33,2.3978952727983707,36,3.200821763086565,0,0,1,0,14.01,603.678736,395,5
1279,2195,Moulins,1800,46.57,3.33,2.5649493574615367,97,4.294899921566646,0,0,1,0,22.72,1705.678637,395,6
1280,2201,Muelheim an der Ruhr,1800,51.433,6.883,2.302585092994046,251,5.423068323076503,0,0,0,0,24.069,4411.863688,396,6
1281,2203,Muenchen,1300,48.15,11.583,2.302585092994046,13,3.797821255252033,0,0,1,0,7.1596,341.96194,397,1
1282,2204,Muenchen,1400,48.15,11.583,2.302585092994046,18,3.312615876974234,0,0,1,0,5.7977,387.583771,397,2
1283,2205,Muenchen,1500,48.15,11.583,2.5649493574615367,36,3.947408878577847,1,0,1,0,7.8447,802.130137,397,3
1284,2206,Muenchen,1600,48.15,11.583,2.995732273553991,53,4.236575772359721,1,0,1,0,11.206,1085.478684,397,4
1285,2207,Muenchen,1700,48.15,11.583,2.995732273553991,116,4.912051034529339,1,0,1,0,12.39,2138.76622,397,5
1286,2208,Muenchen,1800,48.15,11.583,3.6888794541139363,727,6.377587779806375,1,0,1,0,20.21,13583.645455,397,6
1287,2209,Muenster,1300,51.967,7.633,2.772588722239781,4,1.3862943611198906,0,0,1,1,6.4826,75.179318,398,1
1288,2211,Muenster,1500,51.967,7.633,2.302585092994046,25,3.193148394810263,0,0,1,1,6.9763,470.50032,398,3
1289,2212,Muenster,1600,51.967,7.633,2.3978952727983707,21,3.0710803627360286,0,0,1,1,10.221,387.448173,398,4
1290,2214,Muenster,1800,51.967,7.633,2.6390573296152584,277,5.581939981217289,0,0,1,1,20.639,4932.3507441,398,6
1291,2215,Murcia (Mursiya),1200,37.983,-1.117,2.70805020110221,2,0.6931471805599453,0,0,0,0,3.7579,41.138198,399,0
1292,2216,Murcia (Mursiya),1400,37.983,-1.117,2.70805020110221,1,-0.0,0,0,1,0,4.3898,20.74758,399,2
